Datetime,IFA_FLOW,TSD,IFA2_FLOW,EMBEDDED_WIND_GENERATION,ND,MOYLE_FLOW,NEMO_FLOW,ELECLINK_FLOW,PUMP_STORAGE_PUMPING,EMBEDDED_WIND_CAPACITY,ENGLAND_WALES_DEMAND,EMBEDDED_SOLAR_CAPACITY,_count,NON_BM_STOR,_full_text,EAST_WEST_FLOW,NSL_FLOW,BRITNED_FLOW,_id,EMBEDDED_SOLAR_GENERATION
2022-01-01 00:00:00,-181,23275,-4,2412,21940,320,-100,0,450,6527,20513,13080,14592,0,"'-01':2,3 '-100':19 '-181':14 '-4':15 '0':10,12,21 '1':4 '13080':11 '2022':1 '20513':7 '210':20 '21940':5 '23275':6 '2412':8 '320':17 '384':18 '450':13 '586':16 '6527':9",384,210,586,1,0
2022-01-01 00:30:00,-181,23489,-4,2554,22427,320,-104,0,173,6527,21021,13080,14592,0,"'-01':2,3 '-104':19 '-181':14 '-4':15 '0':10,12,21 '13080':11 '173':13 '176':20 '2':4 '2022':1 '21021':7 '22427':5 '23489':6 '2554':8 '320':17 '403':18 '583':16 '6527':9",403,176,583,2,0
2022-01-01 01:00:00,-164,23672,-4,2696,21896,320,-4,0,799,6527,20619,13080,14592,0,"'-01':2,3 '-164':14 '-205':20 '-4':15,19 '0':10,12,21 '13080':11 '2022':1 '20619':7 '21896':5 '23672':6 '2696':8 '3':4 '320':17 '440':18 '567':16 '6527':9 '799':13",440,-205,567,3,0
2022-01-01 01:30:00,-170,23272,-4,2838,20693,320,-6,0,1516,6527,19615,13080,14592,0,"'-01':2,3 '-170':14 '-283':20 '-4':15 '-6':19 '0':10,12,21 '13080':11 '1516':13 '19615':7 '2022':1 '20693':5 '23272':6 '2838':8 '320':17 '387':18 '4':4 '444':16 '6527':9",387,-283,444,4,0
2022-01-01 02:00:00,-753,23958,-4,2977,19481,320,-561,0,1490,6527,18545,13080,14592,0,"'-01':2,3 '-383':16 '-4':15 '-561':19 '-686':20 '-753':14 '0':10,12,21 '13080':11 '1490':13 '18545':7 '19481':5 '2022':1 '23958':6 '2977':8 '320':17 '476':18 '5':4 '6527':9",476,-686,-383,5,0
2022-01-01 02:30:00,-783,23347,-4,3116,18709,301,-587,0,1521,6527,17800,13080,14592,0,"'-01':2,3 '-4':15 '-406':16 '-587':19 '-737':20 '-783':14 '0':10,12,21 '13080':11 '1521':13 '17800':7 '18709':5 '2022':1 '23347':6 '301':17 '3116':8 '387':18 '6':4 '6527':9",387,-737,-406,6,0
2022-01-01 03:00:00,-1014,23722,-4,3165,18081,249,-917,0,1597,6527,17194,13080,14592,0,"'-01':2,3 '-1014':14 '-4':15 '-718':20 '-791':16 '-917':19 '0':10,12,21 '13080':11 '1597':13 '17194':7 '18081':5 '2022':1 '23722':6 '249':17 '3165':8 '457':18 '6527':9 '7':4",457,-718,-791,7,0
2022-01-01 03:30:00,-1022,23199,-4,3214,17542,128,-930,0,1586,6527,16692,13080,14592,0,"'-01':2,3 '-1022':14 '-4':15 '-716':20 '-799':16 '-930':19 '0':10,12,21 '128':17 '13080':11 '1586':13 '16692':7 '17542':5 '2022':1 '23199':6 '3214':8 '383':18 '6527':9 '8':4",383,-716,-799,8,0
2022-01-01 04:00:00,-1022,23015,-4,3286,17094,157,-985,0,1582,6527,16267,13080,14592,0,"'-01':2,3 '-1012':16 '-1022':14 '-4':15 '-716':20 '-985':19 '0':10,12,21 '13080':11 '157':17 '1582':13 '16267':7 '17094':5 '2022':1 '23015':6 '3286':8 '464':18 '6527':9 '9':4",464,-716,-1012,9,0
2022-01-01 04:30:00,-1023,22579,-4,3358,16665,42,-988,0,1570,6527,15878,13080,14592,0,"'-01':2,3 '-1013':16 '-1023':14 '-4':15 '-716':20 '-988':19 '0':10,12,21 '10':4 '13080':11 '1570':13 '15878':7 '16665':5 '2022':1 '22579':6 '3358':8 '369':18 '42':17 '6527':9",369,-716,-1013,10,0
