Datetime,IFA_FLOW,TSD,IFA2_FLOW,EMBEDDED_WIND_GENERATION,ND,MOYLE_FLOW,NEMO_FLOW,ELECLINK_FLOW,PUMP_STORAGE_PUMPING,EMBEDDED_WIND_CAPACITY,ENGLAND_WALES_DEMAND,EMBEDDED_SOLAR_CAPACITY,_count,NON_BM_STOR,_full_text,EAST_WEST_FLOW,NSL_FLOW,BRITNED_FLOW,_id,EMBEDDED_SOLAR_GENERATION
2021-11-01 00:00:00,51,22641,-4,2816,20538,82,576,0,1500,6527,18688,13080,2928,0,"'-01':3 '-11':2 '-4':15 '0':10,12,18,21 '1':4 '13080':11 '1500':13 '18688':7 '2021':1 '20538':5 '22641':6 '2816':8 '354':16 '51':14 '576':19 '6527':9 '693':20 '82':17",0,693,354,14593,0
2021-11-01 00:30:00,16,22799,11,2788,20724,71,573,0,1476,6527,18919,13080,2928,0,"'-01':3 '-11':2 '0':10,12,18,21 '11':15 '13080':11 '1476':13 '16':14 '18919':7 '2':4 '2021':1 '20724':5 '22799':6 '2788':8 '360':16 '573':19 '6527':9 '673':20 '71':17",0,673,360,14594,0
2021-11-01 01:00:00,-1,22587,134,2742,20512,100,609,0,1462,6527,18720,13080,2928,0,"'-01':3 '-1':14 '-11':2 '-13':18 '0':10,12,21 '100':17 '109':16 '13080':11 '134':15 '1462':13 '18720':7 '2021':1 '20512':5 '22587':6 '2742':8 '3':4 '423':20 '609':19 '6527':9",-13,423,109,14595,0
2021-11-01 01:30:00,5,22132,137,2696,19950,190,610,0,1470,6527,18206,13080,2928,0,"'-01':3 '-11':2 '-112':18 '0':10,12,21 '103':16 '13080':11 '137':15 '1470':13 '18206':7 '190':17 '19950':5 '2021':1 '22132':6 '2696':8 '373':20 '4':4 '5':14 '610':19 '6527':9",-112,373,103,14596,0
2021-11-01 02:00:00,-162,21753,-59,2707,19277,136,543,0,1414,6527,17588,13080,2928,0,"'-01':3 '-11':2 '-162':14 '-212':16 '-30':18 '-59':15 '0':10,12,21 '124':20 '13080':11 '136':17 '1414':13 '17588':7 '19277':5 '2021':1 '21753':6 '2707':8 '5':4 '543':19 '6527':9",-30,124,-212,14597,0
2021-11-01 02:30:00,-169,21341,-79,2718,18909,98,537,0,1296,6527,17218,13080,2928,0,"'-01':3 '-11':2 '-169':14 '-231':16 '-58':18 '-79':15 '0':10,12,21 '1296':13 '13080':11 '17218':7 '18909':5 '2021':1 '21341':6 '2718':8 '537':19 '6':4 '6527':9 '84':20 '98':17",-58,84,-231,14598,0
2021-11-01 03:00:00,-589,22060,-324,2777,18710,-41,76,0,1391,6527,17045,13080,2928,0,"'-01':3 '-11':2 '-324':15 '-369':16 '-37':20 '-41':17 '-589':14 '0':10,12,21 '11':18 '13080':11 '1391':13 '17045':7 '18710':5 '2021':1 '22060':6 '2777':8 '6527':9 '7':4 '76':19",11,-37,-369,14599,0
2021-11-01 03:30:00,-608,21978,-349,2835,18399,-167,56,0,1429,6527,16797,13080,2928,0,"'-01':3 '-11':2 '-167':17 '-349':15 '-374':16 '-53':20 '-608':14 '0':10,12,21 '13080':11 '1429':13 '16797':7 '18399':5 '2021':1 '21978':6 '2835':8 '56':19 '6527':9 '8':4 '93':18",93,-53,-374,14600,0
2021-11-01 04:00:00,-713,22438,-627,2882,18345,-116,2,0,1417,6527,16860,13080,2928,0,"'-01':3 '-11':2 '-116':17 '-558':16 '-62':20 '-627':15 '-713':14 '0':10,12,21 '10':18 '13080':11 '1417':13 '16860':7 '18345':5 '2':19 '2021':1 '22438':6 '2882':8 '6527':9 '9':4",10,-62,-558,14601,0
2021-11-01 04:30:00,-715,22726,-632,2928,18574,-184,0,0,1413,6527,17177,13080,2928,0,"'-01':3 '-11':2 '-184':17 '-44':20 '-565':16 '-632':15 '-715':14 '0':10,12,18,19,21 '10':4 '13080':11 '1413':13 '17177':7 '18574':5 '2021':1 '22726':6 '2928':8 '6527':9",0,-44,-565,14602,0
